Date,RequestedQTY,GoodsIssuedQTY,InvoicedQTY,PDO number,req_Illy,req_Teddy,req_Thun,req_other,inv_Illy,inv_Teddy,inv_Thun,inv_other,req_ThunB2B,req_ThunB2C,req_ThunB2B_AA,req_ThunB2B_PP,req_ThunB2B_Sorter,req_ThunB2B_Sort_BVB,req_ThunB2B_Sort_SM,req_ThunB2B_SortSM_10more_no,req_ThunB2B_SortSM_10more_yes,Thun_PDOs,req_BowlPros,inv_BowlPros,AVGperPDO_Thun_ReqQ,AVGperPDO_Thun_SKU,AVGperPDOThunB2B_ReqQ,AVGperPDOThunB2B_InvQ,AVGperPDOThunB2B_SKU,AVGperPDOThunB2B_PDOs,AVGperPDOThunB2C_ReqQ,AVGperPDOThunB2C_InvQ,AVGperPDOThunB2C_SKU,AVGperPDOThunB2C_PDOs,AVGperPDOThunB2Bsort_ReqQ,AVGperPDOThunB2Bsort_InvQ,AVGperPDOThunB2Bsort_SKU,ThunB2Bsort_PDOs,AVGperPDOThunB2Bpp_ReqQ,AVGperPDOThunB2Bpp_InvQ,AVGperPDOThunB2Bpp_SKU,ThunB2Bpp_PDOs,AVGperPDOThunB2Baa_ReqQ,AVGperPDOThunB2Baa_InvQ,AVGperPDOThunB2Baa_SKU,ThunB2Baa_PDOs,AVGperPDO_ReqQ,AVGperPDO_InvQ,AVGperPDO_SKU,BOL_B2B Thun,BOL_B2B AA Thun,BOL_B2B P&P Thun,BOL_B2B Sorter Thun,BOL_B2B Sorter SM Thun,BOL_B2B Sorter BVB Thun,BOL_B2B Sorter riassortimenti WHS,BOL_B2C Thun,BOL_B2C Sorter Thun,BOL_B2C P2L Thun,BOL_Inbound Thun
1/2/2017,227928,217034,216049,12075,12851,0,215041,36,11866,0,204147,36,203715,11326,10095,41494,152126,21499,130627,13306,117321,10190,0,0,21.10314033,5.265161923,27.06456756,25.65470971,6.009831274,7527,4.25309801,4.147202403,3.160345475,2663,30.84675795,28.89971808,7.62867499,4966,51.39390089,50.49555273,5.937738247,787,5.683765502,5.550732807,1.510146561,1774,19.02884295,18.01958986,4.836945649,,,,,,,,,,,
1/9/2017,176524,167839,166669,10663,14442,0,162078,4,13272,0,153393,4,150296,11782,10372,15488,124436,18338,106098,7856,98242,8658,0,0,18.72002772,6.527489027,24.41455491,23.04678363,7.958576998,6156,4.709032774,4.603117506,3.006394884,2502,30.58456158,28.88058956,10.91281539,4003,29.95890411,27.50513699,5.047945205,584,6.60930529,6.503505417,1.504780115,1569,17.00974245,16.06887238,5.87788174,,,,,,,,,,,
1/16/2017,289548,280089,279048,12330,14555,0,274961,32,13514,0,265502,32,266092,8869,7032,96814,162246,16473,145773,7504,138269,10235,0,0,26.86477772,5.0172936,33.83672431,32.67561038,5.753942014,7864,3.740615774,3.60227752,2.574019401,2371,38.90597266,36.86495562,9.284720556,4169,65.84704283,65.46227056,2.521414004,1471,3.161870504,3.136690647,1.273381295,2224,23.95073851,23.07187062,4.643699975,,,,,,,,,,,
1/23/2017,248337,234044,232787,15942,15244,0,233063,30,13987,0,218770,30,227146,5917,19650,37187,170309,19220,151089,8414,142675,13724,0,0,16.98214806,3.922180122,18.91937365,17.76245211,4.149675162,12006,3.444121071,3.209545984,2.332363213,1718,36.43623,33.92109814,7.076740164,4626,12.47910686,12.24752791,2.081020734,3135,4.586572438,4.226383981,2.487632509,4245,15.89292359,14.90184128,3.755308911,,,,,,,,,,,
1/30/2017,190462,175915,174835,9324,13200,0,177195,67,12120,0,162660,55,173210,3985,6550,22186,144474,11483,132991,8412,124579,7443,0,0,23.80693269,6.966277039,28.17797299,25.88352042,7.945664552,6147,3.074845679,2.742283951,2.320987654,1296,34.39105731,31.80533597,9.530879447,4048,24.60896861,23.29775785,7.496860987,1115,6.662601626,4.452235772,1.932926829,984,21.07854618,19.34136103,6.240720283,,,,,,,,,,,
2/6/2017,311527,294205,292818,16948,16229,0,295246,52,14842,0,277924,52,292179,3067,28596,23808,239775,16211,223564,15975,207589,14765,0,0,19.9963427,3.810226888,21.08986574,19.86292767,3.906019922,13854,3.366630077,3.010976948,2.353457739,911,28.97327707,27.36082342,5.168137067,7821,16.04041721,14.54889179,3.133420252,2301,7.682207931,7.426312969,1.737406217,3732,18.74045296,17.62173232,3.678653174,,,,,,,,,,,
2/13/2017,378690,343601,342392,17658,15519,0,363162,9,14310,0,328073,9,359251,3911,29552,28410,301289,29274,272015,18368,253647,15511,0,0,23.41319064,6.392366707,25.05761317,22.62614215,6.710260166,14337,3.331345826,3.136286201,2.510221465,1174,31.7888358,28.45181214,9.220836732,8581,22.60471854,20.41307947,4.376655629,2416,9.538323353,9.25988024,1.948203593,3340,21.70932631,19.62373969,5.974908341,,,,,,,,,,,
2/20/2017,290343,279688,278561,12097,12368,0,277953,22,11241,0,267298,22,272815,5138,30813,34032,207970,28016,179954,8638,171316,10358,0,0,26.83462058,7.337323808,30.09542195,28.93987865,7.931605074,9065,3.973704563,3.834493426,3.17092034,1293,32.27606512,31.51350883,10.26030481,5774,23.77806653,20.96881497,3.283783784,1924,29.77615216,29.28822238,4.637161668,1367,24.58536792,23.6010512,6.766531027,,,,,,,,,,,
2/27/2017,227106,221624,220500,10497,14868,0,212210,28,13744,0,206728,28,210436,1774,9277,20359,180800,26707,154093,9723,144370,8511,0,0,24.93361532,7.860415932,26.40682645,25.72267537,8.223992973,7969,3.273062731,3.217712177,2.514760148,542,31.32959598,30.73574328,10.51807462,5173,51.34356725,49,9.597953216,684,6.273200758,5.90530303,2.160037879,2112,21.99013158,21.33755805,6.934210526,,,,,,,,,,,
3/6/2017,264753,260367,259049,11504,15677,0,249037,39,14359,0,244651,39,248015,1022,17681,31416,198918,20562,178356,5827,172529,9357,0,0,26.61504756,6.077268355,27.51442201,27.02895496,6.235189705,9014,2.979591837,2.950437318,1.927113703,343,38.84562538,38.08466357,9.450191958,4949,24.0313087,23.73450219,2.751408892,1597,7.046191248,6.9910859,2.042544571,2468,23.57167053,23.07282938,5.492155464,,,,,,,,,,,
